"year","industry_branch_code","industry_branch_name","average_salary","previous_year_salary","percent_change"
2006,,,17534.78,,
2007,,,20608.75,17534.78,17.530702
2008,,,22239.75,20608.75,7.914114
2009,,,19165.90,22239.75,-13.821423
2010,,,19566.50,19165.90,2.090171
2011,,,24037.38,19566.50,22.849667
2012,,,22351.67,24037.38,-7.012869
2013,,,24623.50,22351.67,10.164028
2014,,,25329.13,24623.50,2.865677
2015,,,26134.50,25329.13,3.179620
2016,,,27292.00,26134.50,4.429011
2017,,,29158.25,27292.00,6.838084
2018,,,31520.50,29158.25,8.101481
2006,A,"Zemědělství, lesnictví, rybářství",13010.56,,
2007,A,"Zemědělství, lesnictví, rybářství",15974.38,13010.56,22.780111
2008,A,"Zemědělství, lesnictví, rybářství",15593.44,15974.38,-2.384693
2009,A,"Zemědělství, lesnictví, rybářství",17418.75,15593.44,11.705627
2010,A,"Zemědělství, lesnictví, rybářství",18233.88,17418.75,4.679612
2011,A,"Zemědělství, lesnictví, rybářství",16749.33,18233.88,-8.141712
2012,A,"Zemědělství, lesnictví, rybářství",17506.89,16749.33,4.522927
2013,A,"Zemědělství, lesnictví, rybářství",20363.13,17506.89,16.314948
2014,A,"Zemědělství, lesnictví, rybářství",21125.25,20363.13,3.742647
2015,A,"Zemědělství, lesnictví, rybářství",21437.88,21125.25,1.479888
2016,A,"Zemědělství, lesnictví, rybářství",22430.13,21437.88,4.628489
2017,A,"Zemědělství, lesnictví, rybářství",21048.56,22430.13,-6.159438
2018,A,"Zemědělství, lesnictví, rybářství",22491.33,21048.56,6.854483
2006,B,Těžba a dobývání,24042.13,,
2007,B,Těžba a dobývání,20572.00,24042.13,-14.433538
2008,B,Těžba a dobývání,26008.44,20572.00,26.426405
2009,B,Těžba a dobývání,25035.78,26008.44,-3.739786
2010,B,Těžba a dobývání,26884.78,25035.78,7.385430
2011,B,Těžba a dobývání,27995.89,26884.78,4.132859
2012,B,Těžba a dobývání,32513.63,27995.89,16.137154
2013,B,Těžba a dobývání,28080.22,32513.63,-13.635543
2014,B,Těžba a dobývání,27857.56,28080.22,-0.792943
2015,B,Těžba a dobývání,25345.00,27857.56,-9.019311
2016,B,Těžba a dobývání,31487.13,25345.00,24.234090
2017,B,Těžba a dobývání,33501.38,31487.13,6.397058
2018,B,Těžba a dobývání,31994.56,33501.38,-4.497785
2006,C,Zpracovatelský průmysl,13689.55,,
2007,C,Zpracovatelský průmysl,16037.80,13689.55,17.153595
2008,C,Zpracovatelský průmysl,21349.38,16037.80,33.119131
2009,C,Zpracovatelský průmysl,19603.00,21349.38,-8.180003
2010,C,Zpracovatelský průmysl,18469.70,19603.00,-5.781258
2011,C,Zpracovatelský průmysl,23638.50,18469.70,27.985295
2012,C,Zpracovatelský průmysl,24346.38,23638.50,2.994606
2013,C,Zpracovatelský průmysl,22053.00,24346.38,-9.419799
2014,C,Zpracovatelský průmysl,22791.33,22053.00,3.347980
2015,C,Zpracovatelský průmysl,23493.22,22791.33,3.079636
2016,C,Zpracovatelský průmysl,24528.67,23493.22,4.407442
2017,C,Zpracovatelský průmysl,29448.75,24528.67,20.058487
2018,C,Zpracovatelský průmysl,31767.88,29448.75,7.875139
2006,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28844.13,,
2007,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",27476.11,28844.13,-4.742802
2008,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",31202.67,27476.11,13.562910
2009,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",38828.25,31202.67,24.438870
2010,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",39567.88,38828.25,1.904876
2011,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",32024.50,39567.88,-19.064403
2012,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",42382.25,32024.50,32.343206
2013,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",40530.75,42382.25,-4.368574
