"year","category_code","category_name","average_price","previous_year_price","percent_change"
2006,"111101",Rýže loupaná dlouhozrnná,21.29,,
2007,"111101",Rýže loupaná dlouhozrnná,23.86,21.29,12.07
2008,"111101",Rýže loupaná dlouhozrnná,32.69,23.86,37.01
2009,"111101",Rýže loupaná dlouhozrnná,36.10,32.69,10.43
2010,"111101",Rýže loupaná dlouhozrnná,33.93,36.10,-6.01
2011,"111101",Rýže loupaná dlouhozrnná,33.34,33.93,-1.74
2012,"111101",Rýže loupaná dlouhozrnná,34.04,33.34,2.10
2013,"111101",Rýže loupaná dlouhozrnná,34.73,34.04,2.03
2014,"111101",Rýže loupaná dlouhozrnná,35.32,34.73,1.70
2015,"111101",Rýže loupaná dlouhozrnná,35.93,35.32,1.73
2016,"111101",Rýže loupaná dlouhozrnná,36.52,35.93,1.64
2017,"111101",Rýže loupaná dlouhozrnná,36.30,36.52,-0.60
2018,"111101",Rýže loupaná dlouhozrnná,36.18,36.30,-0.33
2006,"111201",Pšeničná mouka hladká,7.41,,
2007,"111201",Pšeničná mouka hladká,9.08,7.41,22.54
2008,"111201",Pšeničná mouka hladká,12.98,9.08,42.95
2009,"111201",Pšeničná mouka hladká,9.97,12.98,-23.19
2010,"111201",Pšeničná mouka hladká,8.77,9.97,-12.04
2011,"111201",Pšeničná mouka hladká,11.44,8.77,30.44
2012,"111201",Pšeničná mouka hladká,11.53,11.44,0.79
2013,"111201",Pšeničná mouka hladká,13.34,11.53,15.70
2014,"111201",Pšeničná mouka hladká,13.12,13.34,-1.65
2015,"111201",Pšeničná mouka hladká,12.59,13.12,-4.04
2016,"111201",Pšeničná mouka hladká,11.03,12.59,-12.39
2017,"111201",Pšeničná mouka hladká,11.43,11.03,3.63
2018,"111201",Pšeničná mouka hladká,11.44,11.43,0.09
2006,"111301",Chléb konzumní kmínový,16.12,,
2007,"111301",Chléb konzumní kmínový,18.85,16.12,16.94
2008,"111301",Chléb konzumní kmínový,22.88,18.85,21.38
2009,"111301",Chléb konzumní kmínový,19.58,22.88,-14.42
2010,"111301",Chléb konzumní kmínový,18.39,19.58,-6.08
