"country","abbreviation","avg_height","calling_code","capital_city","continent","currency_name","religion","currency_code","domain_tld","elevation","north","south","west","east","government_type","independence_date","iso_numeric","landlocked","life_expectancy","national_symbol","national_dish","population_density","population","region_in_world","surface_area","yearly_average_temperature","median_age_2018","iso2","iso3","year","GDP","economy_population","gini","taxes","fertility","mortaliy_under5"
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2018,14546448944.4056,2866376.0,,18.5574753953261,1.617,9.5
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2017,13977387390.5945,2873457.0,33.2,18.8874860107451,1.638,9.4
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2016,13465406059.6498,2876101.0,33.7,17.5902283762095,1.659,9.4
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2015,13033375121.5884,2880703.0,32.9,18.5157960517393,1.677,9.6
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2014,12750473701.7819,2889104.0,34.6,18.3019409890441,1.688,9.9
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2013,12528163103.1195,2895092.0,,16.5032748907978,1.69,10.4
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2012,12403877841.0321,2900401.0,29.0,17.4832338190971,1.684,11.2
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2011,12230507222.1843,2905195.0,,18.0220121712647,1.673,12.1
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2010,11926928505.5231,2913021.0,,,1.66,13.2
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2009,11500613161.6647,2927519.0,,,1.652,14.5
Albania,AL,174.0,355.0,Tirana,Europe,Albanian Lek,Islam,ALL,.al,,42.6656,39.6484,19.294,21.0685,Republic,1912.0,8.0,0.0,71.6,,Tavë kosi,104.6122628,2866376.0,Southern Europe,28748.0,11.4,34.3,AL,ALB,2008,11127823665.7504,2947314.0,30.0,,1.654,15.8
